name,bulletin_number,effective_date,states_involved,property_type,collect_deductible,esl,estimating_software,pricing,customer_service_contacts,special_conditions
Grange Insurance Group   (Grange Ins. Assn.),3382-SF,8/13/2008,"U. S. Franchises in CA, CO, ID, OR, WA, and WY.",R & C,Yes,"5,000 ",ScanER,Utilize local pricing for your area.,"Western Region (Western WA, OR, CA, CO, and WY) Local: 206-448-4911 Toll-Free: 800-247-2643.   Eastern Region (Eastern WA and ID) Local 509-924-7039,  Toll Free 800-824-2702.  Claims 800-826-3397
",
Guaranty National (subsidiary of Fireman's Fund),3780-F,11/1/2010,All U.S. States,R & C,"NO.  Any coverage issues must be discussed with adjuster, not the insured.","2,500 ","Xactimate for these states:  CT, DE, DC, ME, MD, MA, NH, NJ, NY, PA, RI, VT, VA.                                                ScanER for all other states.  If adjuster requests Xactimate, contact National Accounts for approval.","For Xactimate: Use the most current price list provided by Xactimate for your area.                       For ScanER, use Trainer regional price list.","1) Assigned Adjuster
2) Fireman’s Fund: Phone 800-870-8857
","SNAPA Acct.  Fireman's Fund ATP must be used  (attached to bulletin 3780-F; also on ServproNET/SNAPA/Fireman's Fund/Forms). Add'l reasons to notify adjuster: If mitigation losses exceed : personal $20,000; commercial $50,000. If material is unique (bamboo, custom, expensive, etc.), whoe-house content manipulation, inability to service loss (due to size, complexity, etc.). Use DRYING WORKBOOK."
GuideOne,3762-F-2,4/18/2014,All U.S. States,R & C,"No, the deductible will be applied elsewhere on the claim."," R  $2,500                               C  $3,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,24-hour GuideLine 888-748-4326,"The GuideOne Authorization for Direction of Payment Form may be used.  Use DRYING WORKBOOK on residential losses.  If water-damaged carpet is not salvageable, communicate with the adjuster whether to leave a 12"" square sample at the property or send to ITEL.  Local residential and commercial jobs are to be uploaded.  NO INITIAL UPLOAD REQUIRED.  Travel to loss site beyond 2 hours requires adjuster approval."
Gulfstream Property & Casualty Ins. Co.,5028-SF,7/11/2016,"AL, FL, LA, MS, SC, TX",Residential and Commercial,No.  The deductible will be applied elsewhere on the claim.,"2,500 ",Xactimate,Local pricing for your area.,"1-800-485-3004, option 4",
Hallmark Insurance Company/Hallmark County Mutual,3794-F,12/14/2010,"U. S. States of:  AZ, AR, CO, GA, ID, IL, IN, KS, KY, MS, MO, MT, NE, NV, NM, OK, OR, SC, TX, UT, WA, WY",R,Yes,"2,500 ",Xactimate,Use most current price list provided by Xactimate for your area.,800--486-5616,
Hanover American Ins. Co. (subsidiary of Hanover Insurance),4635-F-3,8/24/2015,All U.S. States,R,yes,"3,000 ","Xactimate, Version 28",Use the most current price list provided by Xactimate for your area.,"Contact water mitigation specialist assigned to the file; if not available, Water Mit. Dept. at 800-628-0250 or e-mail to hanovermit@hanover.com.      After hours:  AL, FL, GA, KY, MD, NC, SC, TN, VA: 508-855-4235;        MA, CT, RI: 508-855-4237;        ME, NH, VT: 508-855-4238;        DE, NJ, NY, PA, WV: 508-855-4245;        AR, KS, LA, MO, ND, OK, SD, TX: 508-855-4243;        IA, MN, WI, and Michigan Area Codes of 248,313,586,734,810:  517-540-3280;        IN,IL,OH,AK,AZ,CA,CO,HI,ID,MT, NV, NM, OR, UT, WA, WY, Western Canada, and Michigan Area Codes of 269,906,231,616,517,989:  517-540-4811",THIS IS A SNAPA ACCOUNT.  Notes must be entered inDryBook.  Initial upload required.  See bulletin for other requirements.
Hanover Citizens (subsidiary of Hanover Insurance),4635-F-3,8/24/2015,All U.S. States,R,yes,"3,000 ","Xactimate, Version 28",Use the most current price list provided by Xactimate for your area.,"Contact water mitigation specialist assigned to the file; if not available, Water Mit. Dept. at 800-628-0250 or e-mail to hanovermit@hanover.com.      After hours:  AL, FL, GA, KY, MD, NC, SC, TN, VA: 508-855-4235;        MA, CT, RI: 508-855-4237;        ME, NH, VT: 508-855-4238;        DE, NJ, NY, PA, WV: 508-855-4245;        AR, KS, LA, MO, ND, OK, SD, TX: 508-855-4243;        IA, MN, WI, and Michigan Area Codes of 248,313,586,734,810:  517-540-3280;        IN,IL,OH,AK,AZ,CA,CO,HI,ID,MT, NV, NM, OR, UT, WA, WY, Western Canada, and Michigan Area Codes of 269,906,231,616,517,989:  517-540-4811",THIS IS A SNAPA ACCOUNT.  Notes must be entered inDryBook.  Initial upload required.  See bulletin for other requirements.
Hanover Insurance,4635-F-3,8/24/2015,All U.S. States,R,yes,"3,000 ","Xactimate, Version 28",Use the most current price list provided by Xactimate for your area.,"Contact water mitigation specialist assigned to the file; if not available, Water Mit. Dept. at 800-628-0250 or e-mail to hanovermit@hanover.com.      After hours:  AL, FL, GA, KY, MD, NC, SC, TN, VA: 508-855-4235;        MA, CT, RI: 508-855-4237;        ME, NH, VT: 508-855-4238;        DE, NJ, NY, PA, WV: 508-855-4245;        AR, KS, LA, MO, ND, OK, SD, TX: 508-855-4243;        IA, MN, WI, and Michigan Area Codes of 248,313,586,734,810:  517-540-3280;        IN,IL,OH,AK,AZ,CA,CO,HI,ID,MT, NV, NM, OR, UT, WA, WY, Western Canada, and Michigan Area Codes of 269,906,231,616,517,989:  517-540-4811",THIS IS A SNAPA ACCOUNT.  Notes must be entered inDryBook.  Initial upload required.  See bulletin for other requirements.
Hanover Lloyds (TX) (subsidiary of Hanover Insurance),4635-F-3,8/24/2015,All U.S. States,R,yes,"3,000 ","Xactimate, Version 28",Use the most current price list provided by Xactimate for your area.,"Contact water mitigation specialist assigned to the file; if not available, Water Mit. Dept. at 800-628-0250 or e-mail to hanovermit@hanover.com.      After hours:  AL, FL, GA, KY, MD, NC, SC, TN, VA: 508-855-4235;        MA, CT, RI: 508-855-4237;        ME, NH, VT: 508-855-4238;        DE, NJ, NY, PA, WV: 508-855-4245;        AR, KS, LA, MO, ND, OK, SD, TX: 508-855-4243;        IA, MN, WI, and Michigan Area Codes of 248,313,586,734,810:  517-540-3280;        IN,IL,OH,AK,AZ,CA,CO,HI,ID,MT, NV, NM, OR, UT, WA, WY, Western Canada, and Michigan Area Codes of 269,906,231,616,517,989:  517-540-4811",THIS IS A SNAPA ACCOUNT.  Notes must be entered inDryBook.  Initial upload required.  See bulletin for other requirements.
Hanover New Jersey Ins. Co. (subsidiary of Hanover Insurance),4635-F-3,8/24/2015,All U.S. States,R,yes,"3,000 ","Xactimate, Version 28",Use the most current price list provided by Xactimate for your area.,"Contact water mitigation specialist assigned to the file; if not available, Water Mit. Dept. at 800-628-0250 or e-mail to hanovermit@hanover.com.      After hours:  AL, FL, GA, KY, MD, NC, SC, TN, VA: 508-855-4235;        MA, CT, RI: 508-855-4237;        ME, NH, VT: 508-855-4238;        DE, NJ, NY, PA, WV: 508-855-4245;        AR, KS, LA, MO, ND, OK, SD, TX: 508-855-4243;        IA, MN, WI, and Michigan Area Codes of 248,313,586,734,810:  517-540-3280;        IN,IL,OH,AK,AZ,CA,CO,HI,ID,MT, NV, NM, OR, UT, WA, WY, Western Canada, and Michigan Area Codes of 269,906,231,616,517,989:  517-540-4811",THIS IS A SNAPA ACCOUNT.  Notes must be entered inDryBook.  Initial upload required.  See bulletin for other requirements.
Harford Mutual,2964-SF,5/18/2005,"U. S. States of:  DE, DC, MD, NC, NJ, PA, TN, VA",R & C,Yes,"2,500 ",ScanER,Regional,"Deborah Daughton, Phone 800-638-3669; Email deborah_daughton@harfordmutual.com",
Hastings Mutual,3805-SF,12/14/2010,"U. S. States of:   IL, IN, MI, OH, WI",R & C,Yes,"2,500 ",Xactimate,Use most current price list provided by Xactimate for your area.,Assigned Adjuster or Claims at 800-442-8277,
Hingham Mutual (Subsidiary of New London County Mutual),4141-SF,8/24/2012,"U. S. States of CT, ME, MA, NH, RI",R & C,No," R = 2,500 ESL;       C = 10,000 NTE; for Commercial, do not exceed the NTE without adjuster approval. ","Xactimate, if loss is considered to be $100,000 or less, excluding subcontract work.  Time & Materials, if loss is considered to be greater than $100,000, excluding subcontract work.","For Xactimate, use most current price list provided by Xactimate for your area.  For Time  Materials, use most curent T & M Price List.","Larry Lentine, 860-887-3553 x 4346","Use Drying Workbook. Take readings daily.  Obtain adjuster approval to monitor on holidays and weekends. Do not use ITEL or any other vendor without approval of New London County Insurance Adjuster. Additional conditions to notify adjuster: 1) if packout will exceed $2,000; 2) prior to any demolition."
Hochheim Prairie,3979-SF-2,9/8/2014,U. S. state of:  TX,R & C,No. Hochheim Prairie assures the Franchise ill receive the full deductible amount.,"2,500 ",Xactimate,Use most current price list provided by Xactimate for your area.,"Call the assigned adjuster.  If asbestos is discovered, contact the adjsuter for direction.",Use Drying Workbook
Holyoke (MiddleOak/Middlesex),3983-SF,10/24/2011,"U. S. States of CT, MA, ME, NY, NH, RI, VT",R & C,Yes,"2,500 ",Xactimate,Use most current price list provided by Xactimate for your area.,24-Hr. Service Center 800-225-2533,"SNAPA Acct.  If loss is identified asn an Antique Home, booties or protective footwear must be worn at all times in customer dwelling."
Home-Owners Insurance (subsid. of Auto-Owners),5074-SF,10/10/2016,"AL, AZ, AR, CO, FL, GA, ID, IL, IN, IA, KS, KY, MI, MN, MO, NE, NC, ND, OH, PA, SC, SD, TN, UT, VA, WI",R & C,Yes," Res.  $2,500                  Comm. $10,000 ",Xactimate ,Use the most current price list provided by Xactimate for your area.,"1) Contact assigned adjuster.  2) Mon.-Fri.7:30am-9:30pm, Sat.-Sun.8:00am-6:30pm EST Phone 1-800-252-4626","THIS IS A SNAPA ACCOUNT.  Services not included within this agreement, but may be available upon request: structural construction or reconstruction services, asbestos or lead abatement, hazardous cleanup, non-covered losses."
Homeowners Choice Property Insurance,3325-SF,3/12/2008,U. S. State of:  FL,R,Yes,"2,500 ",Xactimate,Use most current price list provided by Xactimate for your area.,Regular business hours: 888-210-5235 x 3688; after hours 866-324-3138,The insured is responsible for dry cleaning.
Homeowners of America,3800-SF,12/8/2010,U. S. States of TX and OK,R,"Yes, if possible.","2,500 ",Xactimate,Use most current price list provided by Xactimate for your area.,866-407-9896;              Local 972-607-4241,"Call adjuster from scene, if possible, and advise extent of damage."
Homesite Insurance -Water/ Fire/Smoke Mitigation,4347-F-3,12/7/2015,"All U. S. States - Special selection criteria for fire jobs includes a minimum monthly average of $10,000 in fire and smoke work performed for a rolling 12-month period.",R,Collect the deductible unless otherwise directed by the Homesite Adjuster., Water $2500; Fire $3500 ,Xactimate 28,Use most current price list provided by Xactimate for your area.,1-800-HOMESITE (1-800-466-3748),"SNAPA Program. WATER: Use Drying Workbook. Where appropriate, dry carpet in place, if it can be saved. Obtain prior approval from Adjuster for any demolition, removing carpet and hardwood floor coverings, content cleaning above $250, if packout will exceed $2,000, Category 2 or 3 water loss, Class 3 or 4 water loss. Measurements should be to the inch.  Apply antimicrobial on appropriate losses per IICRC guidelines; do not apply on Cat 1 losses.   Fire: Contact Adjuster if packout will exceed $2,000; for contents cleaning estimated above $250. No demolition without adjuster approval.  Refer all textile losses to CRDN."
IMT Group,3692-SF,6/8/2010,"U. S. States of IA, IL, NE, SD, WI",R & C,"Yes, with adjuster approval.","2,500 ",Xactimate,Use most current price list provided by Xactimate for your area.,"Jim Todd, Sr. Claims Mgr. 515-327-2865 or 1-800-274-3531",Use Drying Workbook
Indiana Insurance,3752-F,9/7/2010,Only Participating Franchises,R,Yes,"2,500 ",Xactimate,Current price list,1-800-279-7221,SNAPA Acct.  Refer to bulletin
Indiana Insurance,4034-F-2,7/28/2014,All U. S. States,C,"No, unless instructed by adjuster.","5,000 ","Under 100,000-Xactimate  Over 100,000-T&M with adjuster approval",Current price list,1-800-279-7221,SNAPA Acct.  Refer to bulletin
"Interstate Fire, Interstate Indemnity (Subsidiaries of Fireman's Fund)",3780-F,11/1/2010,All U.S. States,R & C,"NO.  Any coverage issues must be discussed with adjuster, not the insured.","2,500 ","Xactimate for these states:  CT, DE, DC, ME, MD, MA, NH, NJ, NY, PA, RI, VT, VA.                                                ScanER for all other states.  If adjuster requests Xactimate, contact National Accounts for approval.","For Xactimate: Use the most current price list provided by Xactimate for your area.                       For ScanER, use Trainer regional price list.","1) Assigned Adjuster
2) Fireman’s Fund: Phone 800-870-8857
","SNAPA Acct.  Fireman's Fund ATP must be used  (attached to bulletin 3780-F; also on ServproNET/SNAPA/Fireman's Fund/Forms). Add'l reasons to notify adjuster: If mitigation losses exceed : personal $20,000; commercial $50,000. If material is unique (bamboo, custom, expensive, etc.), whoe-house content manipulation, inability to service loss (due to size, complexity, etc.). Use DRYING WORKBOOK."
Iowa American (subsidiary of Motorists Mutual),4099-SF-2,4/11/2014,"U. S. States of IA, IL, IN, KY, MA, ME, MI, MN, NE, NH, OH, PA, RI, SC, VT, WI, WV",R & C,Yes,"3,000 ",Xactimate,Use most current price list provided by Xactimate for your area.,Claims Center Phone 800-876-8766; Fax 800-365-2562,Notify adjuster of Category 1 water losses prior to removal of drywall or carpet.  LOCAL JOBS MUST BE UPLOADED.
Iowa Mutual (subsidiary of Motorists Mutual),4099-SF-2,4/11/2014,"U. S. States of IA, IL, IN, KY, MA, ME, MI, MN, NE, NH, OH, PA, RI, SC, VT, WI, WV",R & C,Yes,"3,000 ",Xactimate,Use most current price list provided by Xactimate for your area.,Claims Center Phone 800-876-8766; Fax 800-365-2562,Notify adjuster of Category 1 water losses prior to removal of drywall or carpet.  LOCAL JOBS MUST BE UPLOADED.
Kemper,3793-F-2,3/7/2014,All U. S. States,R,Yes,"3,500 ",Xactimate 27.5,Use most current price list provided by Xactimate for your area.,Claims Center 1-888-252-2799,"Supporting photos of damage, drying equipment, high-end contents.  If substantial amount of equipment is required on site, photos depicting equipment in use should be taken when possible.  Utilize Xactimate Sketch Diagramming Tool to draw accurate room dimensions, including actual measurements used as basis for support of calculations of mitigation services. If contact cannot be established with the adjuster for the verbal briefing, enter notes in XactAnalysis using notes function.  Immediate Notification to the Adjuster in the following instances:  Surface or subsurface ground water, evidence of repeated seepage, if suspected that homeowner did not maintain adequate heat, unknown origin of water, if packout will exceed $1,000, plumbing leakage appearing to have occurred over more than a 24-hour period, all Category 3 water losses, any Class 3 or Class 4 water loss, contents cleaning estimated above $1,000, lead testing, if cost of mitigation services differs $500 or more from original scope communicated to adjuser in initial assessment.  If mold is discovered, no emergency mitigation or mold remediation will be performed until Kemper has reviewed the loss.  The following is not allowed without prior approval from Kemper: construction repair/replacement work, asbestos/lead contamination product abatement, content packout and/or content cleaning."
Liberty Mutual,4075-F-2,3/14/2016,All U. S. Franchises,R,Do not collect deductible unless a specific request is made by  a LM Mitigation Specialist to do so., Check with Mit. Spec. ,Xactimate 28 ,Use most current price list provided by Xactimate for your area.,Liberty Mutual Mitigation Specialist:  1-855-212-3227,"SNAPA Acct.  Franchise must have voice-to-voice contact with a LM Mit. Spec. while on site during initial inspection. If not available, email information to LM-supplied location through a note in the electronic file. Provide Vendor name, contact #, IICRC #, Arrival time, cause, category and class of loss, mold, lead, asbestos exposure, structure and content damages, if packout required, required demolition, extraction method, drying plan, equipment types to be used, any customer discussions.  Use DRYBOOK."
Liberty Mutual Water Mitigation Program (Formerly Known as LMAC),4034-F-2,7/28/2014,All U. S. States,C,"No, unless directed by adjuster.", Check with Mit. Spec. ,"Under 100,000-Xactimate  Over 100,000-T&M with adjuster approval",Current price list,1-800-289-0930,SNAPA Acct.  Refer to bulletin
Liberty Northwest,3752-F,9/7/2010,Only Participating Franchises,R,Yes,"2,500 ",Xactimate,Current price list,1-800-289-0930,SNAPA Acct.  Refer to bulletin
Liberty Mutual Commercial Water,4034-F-3,1/5/2015,All U. S. States,C,"No, unless directed by adjuster.","2,500 ","Under 100,000-Xactimate  Over 100,000-T&M with adjuster approval",Current price list,1-800-289-0930,SNAPA Acct.  Refer to bulletin
Liberty Northwest,4034-F-2,7/28/2014,All U. S. States,C,"No, unless directed by adjuster.","2,500 ","Under 100,000-Xactimate  Over 100,000-T&M with adjuster approval",Current price list,1-800-289-0930,SNAPA Acct.  Refer to bulletin
Litchfield Mutual Fire (affiliate of State Auto),4102-F,5/30/2012,All U.S. States,R & C,Yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,24-hour contact center phone: 800-766-1853,
Lititz Mutual Insurance Company,3211-SF,3/15/2007,"U. S. States of DE, KS, MD, MO, NC, PA, SC, VA, WV",R,Yes,"5,000 ",ScanER,Local pricing for your area.,Scott Lutz or Robin Halter 1-800-626-4751,
Lloyds Syndicate 1084 (subsidiary of Hanover Insurance),4635-F-3,8/24/2015,All U.S. States,R,yes,"3,000 ","Xactimate, Version 28",Use the most current price list provided by Xactimate for your area.,"Contact water mitigation specialist assigned to the file; if not available, Water Mit. Dept. at 800-628-0250 or e-mail to hanovermit@hanover.com.      After hours:  AL, FL, GA, KY, MD, NC, SC, TN, VA: 508-855-4235;        MA, CT, RI: 508-855-4237;        ME, NH, VT: 508-855-4238;        DE, NJ, NY, PA, WV: 508-855-4245;        AR, KS, LA, MO, ND, OK, SD, TX: 508-855-4243;        IA, MN, WI, and Michigan Area Codes of 248,313,586,734,810:  517-540-3280;        IN,IL,OH,AK,AZ,CA,CO,HI,ID,MT, NV, NM, OR, UT, WA, WY, Western Canada, and Michigan Area Codes of 269,906,231,616,517,989:  517-540-4811",THIS IS A SNAPA ACCOUNT.  Notes must be entered inDryBook.  Initial upload required.  See bulletin for other requirements.
Loudoun Mutual Insurance Company,3545-SF,8/20/2009,U. S. State of VA,R & C,Yes,"2,500 ",Xactimate,Use most current price list provided by Xactimate for your area.,"April Bridgeman, VP of Claims, Phone 540-882-3232 x 127",
Maine Mutual Group,3029-SF,11/9/2005,"U.S. States of ME, NH, VT",R,Yes,"2,500 ",ScanER,Local pricing for your area.,Handling Adjuster or On-Call MMG Adjuster. After Hours 1-800-343-0533,
Maryland Casualty (Subsidiary of Zurich),4601-F,9/5/2014,Franchises in all U.S. States,C,yes, No ESL established ,"Xactimate for all losses estimated at less than $50,000, excluding subcontract.  Time and Materials for all losses estimated at more than $50,000, excluding subcontract.",Xactimate: Use Zurich Xactimate Profile.    Time and Materials: Use T & M Price List attached to Bulletin #4601-F.,"Amy Chiarelli, Vendor Program Manager, phone 847-413-5705",THIS IS A SNAPA ACCOUNT.
Massachusetts Bay Ins. Co. (subsidiary of Hanover Insurance),4635-F-3,8/24/2015,All U.S. States,R,yes,"3,000 ","Xactimate, Version 28",Use the most current price list provided by Xactimate for your area.,"Contact water mitigation specialist assigned to the file; if not available, Water Mit. Dept. at 800-628-0250 or e-mail to hanovermit@hanover.com.      After hours:  AL, FL, GA, KY, MD, NC, SC, TN, VA: 508-855-4235;        MA, CT, RI: 508-855-4237;        ME, NH, VT: 508-855-4238;        DE, NJ, NY, PA, WV: 508-855-4245;        AR, KS, LA, MO, ND, OK, SD, TX: 508-855-4243;        IA, MN, WI, and Michigan Area Codes of 248,313,586,734,810:  517-540-3280;        IN,IL,OH,AK,AZ,CA,CO,HI,ID,MT, NV, NM, OR, UT, WA, WY, Western Canada, and Michigan Area Codes of 269,906,231,616,517,989:  517-540-4811",THIS IS A SNAPA ACCOUNT.  Notes must be entered inDryBook.  Initial upload required.  See bulletin for other requirements.
Mayflower Corporation (affiliate of Grange Ins. Group),3382-SF,8/13/2008,"U. S. Franchises in CA, CO, ID, OR, WA, and WY.",R & C,Yes,"5,000 ",ScanER,Utilize local pricing for your area.,"Western Region (Western WA, OR, CA, CO, and WY) Local: 206-448-4911 Toll-Free: 800-247-2643.   Eastern Region (Eastern WA and ID) Local 509-924-7039,  Toll Free 800-824-2702.  Claims 800-826-3397
",
Members Insurance Company (AAA of Carolina Group),4493-SF,1/31/2014,"U. S. Franchises in NC, SC",R,"No, unless otherwise instructed by the Adjuster.",,Xactimate,Use the most current price list provided by Xactimate for your area.,"1-800-974-1222 (Joanne Marinaro, Claims Manager; 704-569-7881 (Danielle Murphy)","Verbal briefing to AAA Carolina rep or adjuster same business day, or at maximum, 24 hours of referral of claim, to include overview of job, any unusual circumstancesthat would allow AAA of Carolina to assess scope or severity of water and estimated total damages. If unable to meet guidelines, notify SERVPRO Call Center. Desiccant Dehus, Air Scrubbers, Injectidry Systems or other floor-drying systems require prior adjuster approval. Notify/get adjuster approval for: source not known or not from plumbing system insdide the home, customer service issure, pre-existing damage. If Category 1 loss changes to Category 2 or 3; if affected flooring continues through other unaffected rooms, supplements to the water-mitigation job.  Sketch/Dimennsioning: measure to the inch."
Mercury Insurance Company                                                            Mercury Casualty Company                                          Mercury Indemnity Company of America                                     Mercury Insurance Company of Illinois                                           Mercury Insurance Company of Georgia,3199-F-2,11/22/2013,All U. S. States,R & C,Yes - on mitigation jobs only.," R  $2,000                             C  $3,000 ",Xactimate 27.5,Use most current price list provided by Xactimate for your area.,"Calif. - 909-919-7050 x21907; FL & GA -800-987-6000 x63225; AZ,IIL ,NV, OK & TX - 512-241-4162 x44162; PA, NY, NJ, VA - 800-987-2032 x60039","SNAPA Acct. - UTILIZE DRYBOOK. Do not solicit or refer any resoration work beyond mitigation.  Only if the insured initiates such discussion, should Franchisee discuss their capabilities beyond mitigation services.  PHOTOS: In addition to standard, include pre- and post-mitigation for all affected rooms with overview of eqipment and contents; post-mitigation photos after equipment removal. Lift and dry carpet if it can be saved. Reinstall saved carpet. If carpet cannot be saved, lift and remove carpet and leave 12"" square sample of carpet and pad at insured's for adjuster. Contact adjuster if: contents cleaning or packout is probable (must obtain adjuster approval and put on separate estimate), plumbing leakage appearing to have occurred over 24-hours, policyholder request bid for other than emergency water mitigation.  If restoration and/or reconstruction is appvd. by adjuster and insured, complete Xactimate estimate separate from mitigation. Documented appvl from adjuster must be received prior to commencing any restoration services. All contact with insureds must be time stamped and reported in SERVPRO's management reporting system."
Meridian Security and Meridian Citizens Mutual (affiliates of State Auto),4102-F,5/30/2012,All U.S. States,R & C,Yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,24-hour contact center phone: 800-766-1853,
MetLife - Fire/Smoke Program,4261-F,2/28/2013,"All U. S. States - Special selection criteria includes a minimum monthly average of $10,000 in fire and smoke work performed for a rolling 12-month period.",R,Collect deductible when mitigation services are completed unless directed otherwise by the assigned adjuster.,"5,000 ",Xactimate 27.5,Use most current price list provided by Xactimate for your area.,"1-800-854-6011, select ""0"" for live voice.  After hours 1-800-854-6011 x 55400","SNAPA Acct.  FOR LOCAL LOSSES, SEE BULLETIN. Use SERVPRO forms. Take pictures of cause and origin of fire, if possible; add'l photos required of any specialty drying equipment and after any demo.  Use Drying Workbook. Report subrogation to adjuster, then to MetLife's Subrogation Unit at 800-854-6011 x 6270."
MetLife - Water Program,4173-F,9/24/2012,All U. S. States,R,No,"2,500 ",Xactimate 27.5,Use most current price list provided by Xactimate for your area.,"1-800-854-6011, select ""0"" for live voice.  After hours 1-800-854-6011 x 55401","SNAPA Acct.  FOR LOCAL LOSSES, SEE BULLETIN. Use SERVPRO forms. Photos required of any specialty drying equipment and after any demo.  Use Drying Workbook. Report subrogation to adjuster, then to MetLife's Subrogation Unit at 800-854-6011 x 6270."
Michigan Farm Bureau,4000-SF,1/30/2012,U. S. Franchises in MI,R & C,No,"2,500 ",Xactimate,Use most current price list for the area based on zip code for loss location. Price list being used should be identified on the estimate. Base Service Charges not allowed.,"Adjuster assigned to the loss.                                                           Sr. Prop. Claim Spec. Tom  Clark, 517-323-7000","Photos  of property involved in the loss (broken pipe, leaking water line, etc.) should be obtained if mitigation efforts make it necessary to disturb this property. Do not discard any personal property items of insured without consent of insured AND assigned Michigan Farm Bureau Adjuster."
MiddleOak/ Middlesex/ Holyoke,3983-SF,10/24/2011,"U. S. States of CT, MA, ME, NY, NH, RI, VT",R & C,Yes,"2,500 ",Xactimate,Use most current price list provided by Xactimate for your area.,24-Hr. Service Center 800-225-2533,"SNAPA Acct.  If loss is identified as an Antique Home, booties or protective footwear must be worn at all times in customer dwelling."
Midway Insurance Co. of IL (Subsidiary of Fireman's Fund),3780-F,11/1/2010,All U.S. States,R & C,"NO.  Any coverage issues must be discussed with adjuster, not the insured.","2,500 ","Xactimate for these states:  CT, DE, DC, ME, MD, MA, NH, NJ, NY, PA, RI, VT, VA.                                                ScanER for all other states.  If adjuster requests Xactimate, contact National Accounts for approval.","For Xactimate: Use the most current price list provided by Xactimate for your area.                       For ScanER, use Trainer regional price list.","1) Assigned Adjuster
2) Fireman’s Fund: Phone 800-870-8857
","SNAPA Acct.  Fireman's Fund ATP must be used  (attached to bulletin 3780-F; also on ServproNET/SNAPA/Fireman's Fund/Forms). Add'l reasons to notify adjuster: If mitigation losses exceed : personal $20,000; commercial $50,000. If material is unique (bamboo, custom, expensive, etc.), whoe-house content manipulation, inability to service loss (due to size, complexity, etc.). Use DRYING WORKBOOK."
Millbank Insurance (affiliate of State Auto),4102-F,5/30/2012,All U.S. States,R & C,Yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,24-hour contact center phone: 800-766-1853,
Mississippi Farm Bureau,4203-SF,11/5/2012,U. S. State of Mississippi,R & C,No,"5,000 ",Xactimate,Use most current price list provided by Xactimate for your area.,"Contact the Adjuster.  If not available, call 1-866-275-7322 (Claim Ctr.)",SNAPA Acct.
Modern Service Insurance (subsidiary of COUNTRY Mutual),3808-SF,12/20/2010,U.S. Franchises in OR and Southwest WA,R & C,"No; however, discuss with adjuster if loss appears to be mitigation only."," R - $2,500                        C - $5,000 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"1) Assigned Adjuster
2) Charles Strube, Claims Supervisor, Phone 503-723-6311
3) 1-866-COUNTRY (1-866-268-6879).","Use Drying Workbook on Residential, Monitoring/Inspectiion Report on Commercial. Packout, Contents Cleaning, or Demolition requires prior adjuster approval. If after hours, only demo which is immediately necessary as part of initial drying plan shoud be performed."
Modern USA Ins. Co.,3370-SF,7/1/2008,U. S. State of Florida,R,Yes,"2,500 ",Xactimate,Use most current price list provided by Xactimate for your area.,Kara Tierney Phone 866-270-8430 x 156,
Montgomery Insurance,3752-F,9/7/2010,Only Participating Franchises,R,Yes,"2,500 ",Xactimate,Current price list,1-800-561-0178,SNAPA Acct.  Refer to bulletin
Montgomery Insurance,4034-F-2,7/28/2014,All U. S. States,C,"No, unless instructed by adjuster.","5,000 ","Under 100,000-Xactimate  Over 100,000-T&M with adjuster approval",Current price list,1-800-561-0178,SNAPA Acct.  Refer to bulletin
Motorists Commercial Mutual (MCM) - subsidiary of Motorists Mutual,4099-SF-2,4/11/2014,"U. S. States of IA, IL, IN, KY, MA, ME, MI, MN, NE, NH, OH, PA, RI, SC, VT, WI, WV",R & C,Yes,"3,000 ",Xactimate,Use most current price list provided by Xactimate for your area.,Claims Center Phone 800-876-8766; Fax 800-365-2562,Notify adjuster of Category 1 water losses prior to removal of drywall or carpet.  LOCAL JOBS MUST BE UPLOADED.
Motorists Mutual Insurance,4099-SF-2,4/11/2014,"U. S. States of IA, IL, IN, KY, MA, ME, MI, MN, NE, NH, OH, PA, RI, SC, VT, WI, WV",R & C,Yes,"3,000 ",Xactimate,Use most current price list provided by Xactimate for your area.,Claims Center Phone 800-876-8766; Fax 800-365-2562,Notify adjuster of Category 1 water losses prior to removal of drywall or carpet.  LOCAL JOBS MUST BE UPLOADED.
Narragansett Bay Fire/Smoke Mitigation Program,4143-SF,8/24/2012,"U. S. States of MA, NJ, NY, RI - Special selection criteria includes a minimum monthly average of $10,000 in fire and smoke work performed for a rolling 12-month period.",R,Check with Adjuster,"3,500 ",Xactimate,Use most current price list provided by Xactimate for your area.,Phone 401-495-6059 or 800-343-3376,"SEE BULLETIN FOR CRITERIA FOR PERFORMING FIRE/SMOKE LOSSES. Upon receipt of job, Franchise must notify Narragansett Bay Insurance of the Franchise Name and Phone Number that is assigned to the loss.  If possible, take pictures of cause and origin of fire."
